 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 57.00,1.59,0.04,2.80,6.12,3.28,-1.59,0.11,1.22,0.05,1.35,0.06,-25.41,153.80
 58.00,1.65,0.50,2.59,4.76,3.02,-2.87,0.10,0.61,0.01,1.90,-1.42,-20.76,156.84
 59.00,1.72,0.46,2.70,7.80,3.53,-3.53,0.13,1.76,0.09,0.70,-1.68,-19.25,-1.83
 60.00,1.77,0.19,2.71,0.88,0.46,-0.97,0.00,1.24,0.05,1.65,-0.31,-17.22,-82.30
 61.00,1.78,0.14,3.67,1.27,-0.21,-3.13,0.00,1.58,0.08,1.13,0.81,-10.94,-156.20
 62.00,1.74,0.68,3.17,4.49,1.74,-2.56,0.03,2.44,0.18,2.14,0.54,-6.54,-103.18
 63.00,1.68,0.29,2.88,14.69,4.56,-2.46,0.22,2.94,0.26,1.65,0.13,-2.41,-72.66
 64.00,1.64,0.35,2.72,8.44,2.82,-1.54,0.08,2.99,0.27,1.98,0.72,-1.10,2.18
 65.00,1.64,0.41,2.55,14.71,4.45,0.31,0.21,3.10,0.29,1.44,0.90,-2.25,-153.57
 66.00,1.68,0.50,2.04,4.43,1.28,-0.92,0.02,2.69,0.22,1.72,0.27,-0.45,-109.50
 67.00,1.75,0.19,2.49,4.86,1.23,-1.08,0.02,2.87,0.25,1.78,-0.81,-1.64,-51.40
 68.00,1.79,0.22,2.59,8.82,2.00,-1.90,0.04,3.69,0.42,1.08,-1.79,-8.62,-163.14
 69.00,1.80,0.19,3.06,4.03,0.67,-0.97,0.00,2.76,0.23,1.69,-0.72,-10.58,95.02
 70.00,1.77,0.13,2.79,7.33,2.92,-2.36,0.09,2.47,0.19,1.42,0.74,-11.31,-78.21
 71.00,1.71,0.08,1.99,4.94,1.33,-0.56,0.02,2.85,0.25,1.83,1.21,-12.00,-65.91
 72.00,1.68,0.17,2.24,9.11,2.25,-1.13,0.05,3.62,0.40,1.58,0.63,-13.70,-8.37
 73.00,1.69,0.49,2.29,7.85,1.64,-0.36,0.03,3.61,0.40,1.44,-0.27,-10.24,8.23
 74.00,1.73,0.40,2.24,5.77,1.44,-0.97,0.02,3.08,0.29,1.47,-0.57,-7.94,31.59
 75.00,1.80,0.32,2.89,7.51,1.59,-0.51,0.03,3.54,0.38,1.35,-0.58,-5.21,28.14
 76.00,1.84,1.54,1.90,4.59,1.13,-0.56,0.01,2.81,0.24,1.33,-0.12,-5.48,-39.48
 77.00,1.84,0.24,3.01,5.66,1.85,-4.40,0.04,2.81,0.24,1.65,0.29,-3.25,-74.97
 78.00,1.80,0.29,1.87,8.42,3.02,-2.82,0.10,2.78,0.24,1.65,0.23,-1.59,-54.78
 79.00,1.74,0.11,2.58,7.01,2.41,-2.56,0.06,2.87,0.25,1.60,0.28,-0.94,-23.32
 80.00,1.70,0.20,3.00,8.00,2.72,-2.41,0.08,2.94,0.26,1.40,0.19,-2.18,41.42
