 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 42.00,1.59,0.44,3.12,15.13,3.33,-1.57,0.12,4.37,0.56,1.80,-2.55,-25.28,162.64
 43.00,1.67,0.39,2.56,8.50,-1.67,0.74,0.03,3.77,0.42,1.73,-2.46,-30.85,-90.85
 44.00,1.73,0.28,2.47,5.25,0.79,0.39,0.01,3.14,0.29,1.80,-0.05,-24.09,44.18
 45.00,1.74,0.51,3.25,12.90,0.00,0.98,0.00,5.08,0.76,1.00,1.26,-15.07,-5.40
 46.00,1.70,0.41,2.70,7.31,1.67,-0.59,0.03,3.44,0.35,1.80,1.61,-10.07,34.69
 47.00,1.64,0.35,2.78,9.03,0.59,0.49,0.00,4.21,0.52,1.24,0.67,-8.92,193.41
 48.00,1.60,0.33,2.24,11.04,1.72,-1.28,0.03,4.37,0.56,1.80,-1.01,-2.19,90.45
 49.00,1.60,0.29,2.91,13.31,1.67,-0.05,0.03,4.88,0.71,1.33,-1.26,2.16,123.32
 50.00,1.64,0.32,2.62,9.88,2.60,0.29,0.08,3.60,0.38,1.58,-0.04,3.72,52.30
 51.00,1.70,0.53,2.44,6.29,1.28,1.52,0.02,3.31,0.32,1.24,0.93,7.40,57.29
 52.00,1.73,0.24,6.56,89.31,12.31,-5.44,1.72,5.21,0.80,0.58,0.39,10.29,63.21
 53.00,1.73,0.38,3.72,3.29,1.08,4.80,0.01,2.33,0.16,3.42,5.81,7.76,119.88
 54.00,1.70,1.07,4.05,17.52,4.22,2.45,0.20,4.15,0.51,2.27,5.10,-14.88,-1122.27
 55.00,1.64,0.34,3.04,11.29,1.08,2.40,0.01,4.63,0.63,2.62,-5.55,0.20,-1401.12
 56.00,1.57,0.34,3.12,16.43,-1.82,1.82,0.04,5.44,0.88,1.00,-9.08,48.60,-2271.24
 57.00,1.53,0.30,2.33,14.61,-0.79,-2.89,0.01,5.35,0.85,1.13,-4.25,54.82,-1274.43
 58.00,1.54,0.63,2.68,14.75,-0.34,2.31,0.00,5.42,0.87,0.90,3.78,48.71,-1029.35
 59.00,1.55,0.18,2.20,35.85,7.57,1.03,0.64,3.79,0.42,2.10,7.14,80.90,329.15
 60.00,1.55,0.51,2.68,8.21,0.59,1.13,0.00,4.01,0.47,2.59,5.43,76.00,376.35
 61.00,1.51,0.38,3.51,15.34,2.21,0.25,0.05,5.08,0.76,1.30,-1.24,62.89,-158.22
 62.00,1.43,0.31,2.60,22.88,4.51,0.05,0.23,5.04,0.75,2.29,-7.39,56.45,393.41
 63.00,1.33,0.70,3.36,24.41,3.63,-0.15,0.15,5.97,1.07,1.28,-5.01,64.14,-231.99
 64.00,1.26,0.43,3.34,47.49,8.92,-1.77,0.89,3.92,0.45,1.86,2.07,42.77,141.66
 65.00,1.25,0.45,3.99,21.74,5.05,-1.52,0.28,4.25,0.53,1.39,8.16,19.46,-117.04
 66.00,1.28,0.22,3.22,25.02,5.00,1.42,0.28,5.01,0.74,1.15,6.00,21.58,-686.14
 67.00,1.34,0.36,2.71,20.19,3.04,-1.62,0.10,5.58,0.93,1.00,-2.79,1.65,-636.45
 68.00,1.40,0.41,3.36,17.13,2.85,0.00,0.09,5.12,0.78,1.33,-7.91,-36.10,-1119.62
 69.00,1.43,0.58,3.23,13.18,2.99,2.11,0.10,4.17,0.51,2.25,-5.96,-47.26,-299.50
 70.00,1.41,0.34,2.88,24.85,4.51,-0.34,0.23,5.42,0.87,1.11,0.31,-43.15,-182.09
 71.00,1.39,0.40,2.94,26.28,3.87,-0.34,0.17,6.13,1.13,1.07,5.94,-56.28,252.93
 72.00,1.39,0.46,2.43,17.05,3.97,1.67,0.18,4.28,0.54,1.90,6.55,-68.77,598.04
 73.00,1.43,0.36,3.29,22.52,4.22,0.49,0.20,5.22,0.81,1.18,0.76,-62.16,76.53
 74.00,1.51,0.27,2.52,13.22,2.55,1.08,0.07,4.46,0.59,2.20,-5.07,-55.99,453.30
 75.00,1.61,0.42,2.68,5.31,0.39,0.79,0.00,3.24,0.31,3.44,-5.89,-60.51,-14.29
 76.00,1.68,0.45,2.82,12.01,0.10,0.44,0.00,4.90,0.71,2.03,-2.80,-57.14,-136.81
 77.00,1.71,0.27,2.64,12.95,3.04,1.28,0.10,4.08,0.49,2.59,2.14,-41.84,28.45
 78.00,1.69,0.42,2.60,10.15,-0.20,0.34,0.00,4.50,0.60,2.31,5.05,-34.58,-303.40
 79.00,1.65,0.49,2.97,11.91,0.59,-2.01,0.00,4.85,0.69,1.84,2.97,-34.95,73.30
 80.00,1.62,0.11,2.08,8.69,1.08,-0.20,0.01,4.03,0.48,2.36,-1.45,-22.99,-49.38
 81.00,1.62,0.36,2.70,22.26,1.08,0.39,0.01,6.58,1.31,1.00,-4.03,-8.49,114.29
 82.00,1.67,0.49,3.48,9.86,1.57,0.15,0.03,4.15,0.51,2.75,-1.89,-5.48,250.77
