 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 32.00,1.62,0.36,3.39,2.67,-0.20,2.40,0.00,2.30,0.15,1.56,-4.86,24.59,-423.94
 33.00,1.60,0.34,3.01,6.48,1.67,1.28,0.03,3.19,0.29,1.77,-4.60,33.02,181.89
 34.00,1.62,0.42,3.10,3.69,0.44,2.75,0.00,2.68,0.21,1.60,-0.38,30.09,267.19
 35.00,1.68,0.34,3.01,4.91,1.62,2.40,0.03,2.68,0.21,1.35,3.58,35.72,370.62
 36.00,1.72,0.51,2.91,2.58,0.44,2.65,0.00,2.23,0.14,1.58,3.69,42.22,473.26
 37.00,1.70,0.36,2.97,12.39,4.36,1.37,0.21,2.40,0.17,1.45,0.49,38.07,140.57
 38.00,1.63,0.50,3.43,1.50,-0.49,2.36,0.00,1.66,0.08,2.19,-2.05,33.69,245.26
 39.00,1.56,0.39,3.51,7.73,3.19,1.42,0.11,2.30,0.15,1.58,-2.50,30.56,84.61
 40.00,1.50,0.31,2.86,8.22,3.14,1.08,0.11,2.57,0.19,1.28,-1.07,27.30,-25.53
 41.00,1.48,0.35,3.06,9.58,3.87,2.06,0.17,2.04,0.12,0.25,1.59,19.34,-52.48
 42.00,1.52,0.28,3.13,0.49,0.00,2.36,0.00,0.99,0.03,1.83,2.60,16.50,-252.70
 43.00,1.57,0.29,3.09,2.45,1.13,3.24,0.01,1.91,0.10,1.45,0.58,14.50,-112.22
 44.00,1.61,0.24,2.53,2.95,1.62,2.36,0.03,1.81,0.09,1.77,-2.18,3.77,-252.95
 45.00,1.61,0.35,2.49,8.83,3.78,1.57,0.16,1.85,0.10,1.33,-2.42,-4.55,55.15
 46.00,1.57,0.41,2.91,33.63,8.01,1.77,0.72,1.77,0.09,1.24,-0.02,-6.50,4.84
 47.00,1.52,0.36,2.17,9.70,4.12,2.01,0.19,1.56,0.07,1.83,4.42,-16.13,150.85
 48.00,1.48,0.37,2.59,15.34,5.24,1.72,0.31,1.79,0.09,1.73,4.40,-40.60,663.67
 49.00,1.48,0.19,2.83,11.74,3.97,1.62,0.18,2.78,0.22,1.91,-0.88,-35.70,538.77
 50.00,1.52,0.33,2.55,10.44,4.02,1.77,0.18,2.17,0.14,1.33,-4.41,-36.35,843.83
 51.00,1.60,0.30,2.71,4.39,1.77,1.28,0.03,2.38,0.16,2.06,-3.94,-42.20,276.91
 52.00,1.67,0.34,2.43,9.26,3.48,1.42,0.13,2.53,0.18,1.62,-0.69,-37.34,120.27
 53.00,1.69,0.38,2.57,4.49,1.08,1.52,0.01,2.79,0.22,1.94,2.55,-22.84,-113.96
 54.00,1.65,0.29,2.68,3.25,-0.05,3.68,0.00,2.55,0.19,2.15,3.08,-16.70,-264.79
 55.00,1.60,0.58,2.15,1.19,-0.34,1.62,0.00,1.51,0.06,2.32,0.38,-13.03,-67.83
 56.00,1.56,0.36,2.93,3.79,1.72,1.62,0.03,2.15,0.13,1.70,-2.49,-0.03,-221.09
 57.00,1.55,0.24,2.47,5.49,2.45,1.37,0.07,2.23,0.14,1.28,-2.70,8.01,17.99
 58.00,1.59,0.41,3.04,2.35,1.28,1.33,0.02,1.75,0.09,1.54,-0.20,9.35,17.16
 59.00,1.64,0.39,2.37,2.43,0.88,1.47,0.01,2.02,0.12,1.62,1.97,18.19,165.09
 60.00,1.67,0.31,2.52,5.45,2.21,1.37,0.05,2.45,0.17,1.30,1.85,22.85,195.36
 61.00,1.65,0.33,2.93,37.36,7.81,-0.88,0.68,3.69,0.39,0.61,0.38,20.22,74.18
 62.00,1.60,1.83,3.90,7.38,3.78,0.98,0.16,0.71,0.01,1.24,1.54,17.44,74.59
 63.00,1.54,0.34,3.57,26.55,6.99,0.29,0.55,2.06,0.12,1.07,1.33,-3.46,526.83
 64.00,1.50,0.41,3.06,3.99,2.26,1.03,0.06,1.70,0.08,1.49,-0.85,-1.42,212.77
 65.00,1.50,0.26,3.43,10.12,3.97,0.98,0.18,2.11,0.13,1.11,-2.22,2.02,170.52
 66.00,1.54,0.26,2.87,8.26,3.58,1.47,0.14,1.92,0.11,1.16,-2.73,-2.63,250.25
 67.00,1.61,0.44,2.70,2.03,-1.47,1.42,0.02,1.37,0.05,1.49,-0.46,-10.72,-198.32
 68.00,1.65,0.36,2.82,4.80,-0.49,1.18,0.00,3.06,0.27,1.79,1.22,3.67,118.42
 69.00,1.65,0.49,2.99,3.14,0.25,1.82,0.00,2.49,0.18,1.28,1.31,6.50,207.54
 70.00,1.61,0.34,3.30,3.69,-1.08,2.21,0.01,2.49,0.18,1.77,0.33,5.17,94.66
 71.00,1.54,0.43,2.75,5.69,-2.36,2.60,0.06,2.42,0.17,1.79,-0.87,8.92,-6.41
 72.00,1.49,0.22,3.59,23.38,5.83,0.88,0.38,3.58,0.37,0.59,-0.92,11.06,-66.43
 73.00,1.49,0.32,5.30,7.23,2.21,1.33,0.05,3.10,0.28,0.86,1.37,9.66,-85.32
 74.00,1.52,0.38,3.48,2.29,-0.15,2.26,0.00,2.13,0.13,1.39,2.24,13.67,-379.07
 75.00,1.57,0.42,2.83,3.18,-0.25,3.48,0.00,2.51,0.18,1.43,-0.63,12.28,-280.27
 76.00,1.62,0.03,3.22,9.18,3.04,2.75,0.10,3.02,0.26,1.28,-2.82,-4.85,-579.69
 77.00,1.63,0.41,2.88,2.02,-0.34,2.65,0.00,1.98,0.11,2.21,-1.67,-10.75,-231.61
 78.00,1.59,0.24,3.43,5.46,1.57,1.91,0.03,2.91,0.24,1.68,0.65,-12.27,-296.85
 79.00,1.54,0.34,4.02,17.02,5.14,1.18,0.29,2.76,0.22,1.05,1.76,-20.14,-51.08
 80.00,1.51,0.32,2.89,4.12,1.96,2.40,0.04,2.09,0.13,1.35,2.34,-21.26,-0.71
