 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 54.00,1.65,0.13,1.72,77.30,11.49,-5.23,1.37,4.75,0.62,0.75,1.73,-70.67,-778.50
 55.00,1.64,0.38,1.98,42.38,8.19,-3.36,0.69,4.20,0.48,0.40,6.74,-73.59,-486.17
 56.00,1.65,0.19,1.68,42.33,8.25,-2.88,0.70,4.08,0.46,0.52,4.83,-84.89,103.82
 57.00,1.69,0.45,1.46,44.62,8.30,-3.47,0.71,4.51,0.56,0.18,-3.71,-66.25,377.84
 58.00,1.73,0.22,1.22,34.59,7.08,-3.31,0.51,4.36,0.52,0.52,-7.52,-61.71,995.24
 59.00,1.79,0.69,1.12,37.55,7.61,-2.83,0.59,4.14,0.47,0.61,-4.80,-53.86,585.78
 60.00,1.86,0.43,1.66,22.34,5.07,-2.24,0.26,4.36,0.52,0.08,1.11,-41.11,407.80
 61.00,1.87,0.48,1.48,27.13,6.08,-1.50,0.38,4.16,0.47,0.34,4.18,-17.83,-223.11
 62.00,1.83,0.32,1.69,33.65,6.66,-2.51,0.45,4.79,0.63,0.16,2.31,-6.97,-216.66
 63.00,1.77,0.44,1.78,38.24,7.45,-3.04,0.57,4.57,0.57,0.24,-0.38,4.89,-158.97
 64.00,1.72,0.53,1.67,47.51,8.72,-2.88,0.78,4.36,0.52,0.44,-1.46,10.14,-41.09
 65.00,1.71,0.16,1.61,38.20,7.67,-3.42,0.60,4.20,0.48,0.26,-0.01,12.65,17.28
 66.00,1.74,0.34,1.60,41.80,7.93,-2.14,0.65,4.55,0.57,0.36,1.21,17.57,-174.16
 67.00,1.79,0.30,1.67,43.23,8.14,-1.76,0.68,4.50,0.55,0.32,0.75,15.16,-151.48
 68.00,1.83,0.11,1.44,34.53,6.93,-1.12,0.49,4.59,0.58,0.44,0.10,8.76,-208.33
 69.00,1.83,0.36,1.83,39.37,7.72,-2.72,0.61,4.38,0.53,0.61,-1.10,5.53,-135.45
 70.00,1.79,0.45,1.64,40.76,7.93,-1.66,0.65,4.32,0.51,0.44,-1.46,6.57,75.87
 71.00,1.73,0.40,1.62,26.87,5.87,-1.66,0.35,4.40,0.53,0.38,0.00,4.54,83.39
 72.00,1.68,0.46,1.76,51.26,9.14,-2.94,0.86,4.36,0.52,0.44,0.25,-1.81,203.93
 73.00,1.68,0.34,1.75,55.44,9.30,-2.88,0.89,4.94,0.67,0.59,1.07,-2.00,304.37
 74.00,1.72,0.29,1.61,49.97,8.93,-2.03,0.82,4.50,0.55,0.46,3.07,1.94,-23.70
 75.00,1.78,1.19,1.30,37.23,7.40,-1.12,0.56,4.44,0.54,0.63,1.98,14.15,278.64
 76.00,1.82,0.45,1.38,41.96,8.35,-2.56,0.72,3.77,0.39,0.65,-2.08,9.30,21.18
 77.00,1.82,0.34,1.63,28.57,6.45,-1.60,0.43,3.95,0.43,0.56,-4.32,-1.29,309.90
 78.00,1.78,0.34,1.50,35.13,6.61,-1.34,0.45,5.16,0.73,0.24,-3.14,1.99,401.57
 79.00,1.72,0.33,1.73,40.06,7.72,-2.46,0.61,4.53,0.56,0.22,0.05,1.30,58.78
 80.00,1.68,0.19,2.02,46.43,8.14,-2.30,0.68,5.16,0.73,0.24,3.60,-11.50,192.77
