 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 25.00,1.12,1.23,5.68,35.76,8.39,1.27,0.83,1.07,0.04,1.55,7.47,23.00,99.89
 26.00,1.14,0.40,7.09,10.53,3.79,-4.12,0.17,2.58,0.23,1.83,7.33,35.27,-1003.47
 27.00,1.19,0.40,5.80,20.96,5.94,-1.22,0.41,2.58,0.23,1.61,-5.22,15.73,-1063.60
 28.00,1.27,0.47,7.06,17.00,5.05,-5.61,0.30,2.91,0.29,1.96,-12.43,-48.94,-2206.81
 29.00,1.31,0.19,7.87,18.77,5.43,-6.36,0.34,2.84,0.28,1.44,-7.20,-64.69,-925.79
 30.00,1.30,0.34,6.10,44.20,9.03,0.19,0.96,2.61,0.24,1.12,3.29,-62.34,-984.56
 31.00,1.30,0.49,6.82,15.92,5.43,-4.07,0.34,1.55,0.08,2.17,11.41,-95.12,179.05
 32.00,1.34,0.37,5.29,11.25,4.31,-1.36,0.22,1.99,0.14,1.30,8.12,-120.27,918.43
 33.00,1.40,0.32,7.22,14.36,5.05,-1.41,0.30,1.78,0.11,1.22,-4.29,-95.89,818.98
 34.00,1.44,0.28,5.82,5.30,2.53,-0.05,0.07,2.05,0.15,0.95,-11.16,-89.17,1515.07
 35.00,1.56,0.34,4.79,1.73,1.03,-0.23,0.01,1.55,0.08,1.20,-7.71,-90.52,468.69
 36.00,1.64,0.25,4.03,0.38,-0.19,0.38,0.00,0.85,0.03,1.01,0.91,-67.41,378.74
 37.00,1.66,0.34,4.45,2.19,0.98,0.94,0.01,1.85,0.12,0.92,7.00,-33.87,-214.98
 38.00,1.63,0.32,3.55,2.74,1.31,0.75,0.02,1.94,0.13,0.90,6.10,-21.59,-487.32
 39.00,1.58,0.29,4.82,2.42,1.50,0.05,0.03,1.61,0.09,0.95,0.22,-10.20,-169.25
 40.00,1.53,0.28,3.94,5.24,2.58,-0.80,0.08,1.96,0.13,0.90,-4.91,10.91,-334.81
 41.00,1.51,0.29,3.75,5.52,2.48,1.45,0.07,2.21,0.17,0.82,-4.77,24.11,108.61
 42.00,1.54,0.34,4.42,4.64,2.30,0.84,0.06,2.00,0.14,1.17,-0.27,25.99,74.63
 43.00,1.58,0.53,5.41,2.66,0.33,-0.75,0.00,2.28,0.18,0.95,3.72,35.67,214.70
 44.00,1.59,0.11,3.80,3.40,2.11,1.74,0.05,1.53,0.08,1.17,3.63,43.79,332.90
 45.00,1.57,0.20,4.79,6.10,2.48,-1.88,0.07,2.46,0.21,1.36,0.30,38.62,135.63
 46.00,1.50,0.45,4.53,4.04,2.30,1.55,0.06,1.67,0.10,0.66,-2.50,34.57,250.19
 47.00,1.42,0.08,4.73,1.98,1.03,-0.38,0.01,1.70,0.10,0.60,-2.64,33.29,17.83
 48.00,1.36,0.38,3.75,14.83,4.73,-3.98,0.26,2.70,0.25,0.76,-0.78,27.36,-15.92
 49.00,1.35,0.37,3.91,9.25,3.75,-1.31,0.16,2.11,0.15,0.66,2.31,18.58,-34.15
 50.00,1.38,0.27,3.74,10.37,4.07,-2.11,0.19,2.03,0.14,1.01,3.48,17.29,-315.60
 51.00,1.43,0.26,4.34,24.74,6.36,-0.56,0.47,3.01,0.32,1.39,1.09,16.84,-98.19
 52.00,1.47,0.36,4.59,4.61,1.83,-0.05,0.04,2.42,0.20,0.76,-0.66,5.50,-248.98
 53.00,1.47,0.44,5.13,4.93,2.25,-2.58,0.06,2.19,0.17,1.17,-2.01,0.36,-285.92
 54.00,1.43,0.27,3.98,3.24,1.13,0.47,0.01,2.28,0.18,1.06,-2.96,2.01,36.50
 55.00,1.37,0.31,5.17,6.01,0.98,-0.70,0.01,3.32,0.39,1.22,-1.29,7.47,-152.89
 56.00,1.32,0.30,5.27,5.34,-0.80,-1.22,0.01,3.17,0.35,0.33,1.32,2.98,16.21
 57.00,1.32,0.33,4.54,19.18,4.87,-3.42,0.28,3.83,0.51,1.12,2.54,-3.26,-52.35
 58.00,1.37,0.27,3.31,25.79,6.82,-0.33,0.54,2.25,0.18,1.33,2.39,-1.36,-167.90
 59.00,1.43,0.38,4.76,32.14,7.51,0.89,0.66,2.80,0.27,1.42,1.79,2.84,115.72
 60.00,1.47,0.27,5.11,14.27,4.59,-0.52,0.25,2.74,0.26,0.59,0.74,5.78,223.97
 61.00,1.47,0.26,4.25,8.36,3.23,0.38,0.12,2.50,0.22,0.68,-1.69,2.95,110.56
 62.00,1.43,0.36,4.37,5.51,1.97,-0.80,0.05,2.67,0.25,0.49,-4.13,6.54,422.21
 63.00,1.35,0.36,3.81,20.76,5.89,-3.37,0.41,2.61,0.24,1.66,-3.28,22.58,-172.28
 64.00,1.30,0.41,4.65,11.74,3.89,-2.67,0.18,2.89,0.29,1.26,1.25,20.78,-105.11
 65.00,1.29,0.29,4.20,10.98,3.79,-1.36,0.17,2.75,0.26,0.95,4.48,6.86,-418.42
 66.00,1.33,0.41,5.27,5.63,1.59,-2.16,0.03,2.95,0.30,0.62,2.54,7.28,-522.48
 67.00,1.39,0.35,3.85,4.26,1.74,0.33,0.04,2.35,0.19,0.96,-1.78,-2.73,-368.90
 68.00,1.45,0.26,3.58,3.97,2.02,-0.70,0.05,1.97,0.13,1.37,-4.40,-20.95,-509.24
 69.00,1.46,0.36,4.87,6.90,2.53,-0.09,0.07,2.72,0.26,1.09,-2.92,-27.09,38.27
 70.00,1.44,0.45,4.51,3.37,1.08,2.44,0.01,2.36,0.19,1.01,1.08,-26.88,-58.46
 71.00,1.40,0.31,4.08,5.64,2.63,0.98,0.08,2.10,0.15,0.27,3.47,-34.88,187.20
 72.00,1.38,0.27,3.87,4.62,1.50,0.33,0.03,2.64,0.24,0.71,2.37,-38.02,255.47
 73.00,1.40,0.39,4.02,4.97,2.67,-2.02,0.08,1.67,0.10,1.42,-0.52,-30.78,117.62
 74.00,1.46,0.36,4.02,3.40,1.03,-0.94,0.01,2.39,0.20,0.63,-2.56,-26.16,202.12
 75.00,1.54,0.36,3.63,1.65,0.42,1.13,0.00,1.77,0.11,0.71,-2.15,-25.84,-47.52
 76.00,1.59,0.96,2.40,2.62,1.97,-1.55,0.05,1.17,0.05,1.23,-0.20,-19.52,-36.14
 77.00,1.60,0.36,4.43,2.36,1.27,-1.41,0.02,1.77,0.11,0.82,1.56,-11.80,-49.70
 78.00,1.56,0.27,5.02,3.19,0.70,-1.22,0.01,2.42,0.20,1.01,1.74,-8.67,-134.97
 79.00,1.51,0.27,5.26,2.13,0.05,-0.09,0.00,2.06,0.15,1.07,0.43,-6.43,-28.32
 80.00,1.46,0.35,4.77,3.21,1.22,1.50,0.02,2.22,0.17,1.04,-1.07,-1.07,-67.53
