 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 80.00,1.95,0.52,4.31,23.15,2.56,-1.25,0.07,4.07,0.44,3.07,0.14,-17.17,-24.09
 81.00,2.03,0.98,2.75,14.29,1.20,-1.74,0.01,3.58,0.34,3.20,-2.02,-14.72,-49.00
 82.00,2.13,0.34,3.01,22.08,2.83,-1.96,0.08,3.75,0.37,2.66,-2.17,-15.91,-146.24
 83.00,2.21,0.29,2.66,19.42,1.64,-1.31,0.03,4.09,0.45,3.16,-0.01,-10.52,-84.48
 84.00,2.21,0.68,3.36,47.94,-4.79,-0.76,0.23,5.00,0.67,4.33,3.85,-6.37,-58.30
 85.00,2.15,3.41,2.86,33.18,-4.30,-1.42,0.19,3.83,0.39,4.64,4.83,-9.68,-215.58
 86.00,2.05,0.36,3.67,34.45,-4.30,-1.15,0.19,3.99,0.42,4.46,0.41,-10.86,-82.54
 87.00,1.98,0.51,3.55,12.80,-0.82,-2.40,0.01,3.48,0.32,3.63,-5.27,2.29,-212.98
 88.00,1.97,0.54,2.82,25.76,-0.76,-0.87,0.01,5.02,0.67,3.61,-6.16,11.53,68.62
 89.00,2.04,1.07,2.55,14.90,0.93,-1.47,0.01,3.75,0.37,3.61,-1.39,10.10,84.43
 90.00,2.13,0.52,2.26,17.77,0.44,-1.96,0.00,4.19,0.47,3.61,3.22,18.56,123.27
 91.00,2.19,2.91,2.56,32.20,-3.49,-1.20,0.12,4.48,0.53,4.01,5.66,25.38,148.01
 92.00,2.18,0.53,3.23,35.96,-3.49,-1.85,0.12,4.88,0.64,4.07,4.22,27.13,-126.51
 93.00,2.10,0.77,3.03,31.95,-3.05,-0.82,0.09,4.76,0.61,4.31,-0.68,22.49,-113.94
 94.00,1.99,0.68,3.58,31.43,-3.65,-2.73,0.13,4.25,0.48,4.42,-4.58,24.87,-146.35
 95.00,1.91,0.99,2.64,17.53,1.20,-2.45,0.01,4.01,0.43,3.32,-5.02,30.20,-207.31
 96.00,1.90,0.54,2.53,16.23,1.80,-2.18,0.03,3.61,0.35,3.61,-2.22,27.91,17.73
 97.00,1.96,0.85,2.93,22.42,2.67,-2.89,0.07,3.91,0.41,2.95,2.46,22.25,5.89
 98.00,2.05,0.52,2.47,15.75,1.74,-2.45,0.03,3.56,0.34,2.99,4.22,26.63,139.71
 99.00,2.11,0.39,2.23,13.76,0.87,-2.13,0.01,3.61,0.35,3.18,1.37,25.72,135.73
 100.00,2.11,0.68,2.77,17.61,2.18,-1.53,0.05,3.58,0.34,2.71,-2.09,18.41,101.21
 101.00,2.03,0.63,2.69,12.02,-0.16,-1.69,0.00,3.46,0.32,3.36,-3.32,14.82,112.12
 102.00,1.92,0.68,2.46,15.90,1.36,-1.91,0.02,3.75,0.37,3.26,-1.61,13.93,-14.52
 103.00,1.85,0.98,2.55,20.43,2.78,-2.73,0.08,3.56,0.34,3.22,1.89,6.66,17.11
 104.00,1.85,0.53,2.57,29.86,3.98,-2.67,0.16,3.75,0.37,2.66,4.29,-0.04,-91.36
 105.00,1.92,0.23,2.61,53.50,6.36,-3.76,0.41,3.61,0.35,2.50,5.18,0.61,-155.25
 106.00,2.02,1.16,2.04,35.08,4.68,-3.54,0.22,3.63,0.35,2.40,1.83,9.05,92.77
 107.00,2.09,0.96,2.29,32.51,4.03,-3.05,0.16,4.03,0.43,2.58,-4.23,-0.07,-32.90
 108.00,2.09,0.76,2.48,21.66,2.29,-1.80,0.05,4.05,0.44,2.52,-6.71,-9.11,166.02
 109.00,2.02,0.57,2.32,21.60,2.13,-2.73,0.05,4.13,0.45,2.83,-3.83,-5.92,211.97
 110.00,1.92,0.68,5.81,54.40,5.77,-5.23,0.33,4.60,0.56,1.94,4.49,-6.79,66.20
 111.00,1.85,1.00,2.41,11.85,0.38,-1.09,0.00,3.42,0.31,2.58,6.84,-31.85,361.86
 112.00,1.86,0.55,2.66,20.26,2.40,-2.24,0.06,3.81,0.39,2.23,0.21,-31.44,274.71
 113.00,1.94,0.97,2.46,47.17,5.93,-3.16,0.35,3.46,0.32,2.56,-2.81,-32.60,411.15
 114.00,2.04,0.52,2.30,30.08,4.41,-2.51,0.20,3.26,0.28,2.46,-2.14,-25.71,360.23
 115.00,2.11,0.73,2.32,15.75,1.42,-1.64,0.02,3.71,0.37,2.62,-2.18,-21.00,237.17
 116.00,2.11,0.56,4.47,18.60,1.64,-1.64,0.03,3.99,0.42,2.73,-1.21,-16.20,178.21
 117.00,2.04,0.28,2.35,26.23,3.60,-1.96,0.13,3.65,0.35,2.42,1.47,-9.49,125.05
 118.00,1.94,0.52,2.90,28.62,3.65,-3.87,0.13,3.91,0.41,2.32,3.24,-10.98,114.69
 119.00,1.87,0.48,4.08,67.62,7.39,-4.30,0.55,3.61,0.35,1.92,5.15,-17.02,160.81
 120.00,1.88,8.00,2.81,71.17,7.98,-3.92,0.64,2.73,0.20,1.94,5.62,-19.28,-181.00
