 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 26.00,1.14,0.47,2.22,94.82,10.93,-3.98,1.21,8.38,1.79,1.79,-2.04,-32.72,177.34
 27.00,1.22,0.65,1.43,75.67,9.59,-5.44,0.93,7.70,1.50,1.47,-1.04,-26.79,29.09
 28.00,1.27,0.56,1.83,72.50,9.33,-3.92,0.88,7.62,1.47,1.12,-0.25,-15.14,107.85
 29.00,1.27,0.36,1.80,76.60,9.91,-3.54,0.99,7.41,1.39,1.05,-1.11,-10.78,292.06
 30.00,1.23,0.45,2.18,63.06,8.79,-4.74,0.78,6.99,1.23,1.39,-0.80,-1.27,462.61
 31.00,1.17,0.29,2.28,54.14,7.98,-5.06,0.64,6.67,1.12,1.32,-0.58,0.34,339.59
 32.00,1.13,0.75,3.72,67.14,9.65,-4.03,0.94,6.42,1.03,1.05,-1.65,3.44,156.35
 33.00,1.13,0.34,2.67,20.13,4.14,-2.51,0.17,4.81,0.57,0.60,-0.80,5.17,228.63
 34.00,1.17,0.49,2.63,17.08,3.32,-2.73,0.11,4.81,0.57,0.25,-2.05,6.46,-34.58
 35.00,1.23,1.58,2.27,6.05,1.85,-0.82,0.03,2.94,0.21,0.67,-5.24,-13.22,-681.96
 36.00,1.30,1.14,2.32,9.04,2.45,-1.47,0.06,3.47,0.30,0.40,-4.48,-31.11,-994.09
 37.00,1.31,0.49,2.86,11.54,3.43,-1.64,0.12,3.36,0.28,0.85,-0.57,-27.73,-554.40
 38.00,1.29,0.19,2.35,7.70,1.91,-0.55,0.04,3.43,0.29,0.11,3.65,-25.48,-611.75
 39.00,1.25,0.46,2.78,10.20,2.78,-0.38,0.08,3.56,0.31,0.02,3.94,-43.59,242.27
 40.00,1.24,0.45,2.96,9.43,1.74,-0.82,0.03,3.98,0.39,-0.07,0.65,-37.44,192.78
 41.00,1.25,0.43,5.47,16.80,5.12,-2.40,0.26,2.72,0.18,0.07,-2.55,-24.54,144.32
 42.00,1.29,0.24,3.74,12.32,3.00,-0.65,0.09,3.96,0.39,0.34,-2.52,-19.24,248.40
 43.00,1.35,0.64,3.13,11.99,3.22,-0.49,0.10,3.69,0.34,0.60,-0.08,-10.61,151.77
 44.00,1.40,0.72,3.01,4.94,0.38,0.44,0.00,3.12,0.24,0.29,1.67,1.33,217.71
 45.00,1.40,0.37,3.31,24.61,5.61,-1.85,0.32,4.22,0.44,0.92,1.12,6.61,74.35
 46.00,1.35,0.35,3.16,13.30,3.00,-0.76,0.09,4.20,0.43,0.83,0.67,10.11,141.38
 47.00,1.29,0.20,2.87,25.07,5.12,-1.53,0.26,4.89,0.59,0.45,0.36,5.46,263.03
 48.00,1.25,0.21,3.07,37.76,7.01,-2.45,0.49,5.13,0.65,1.23,-0.17,3.95,209.66
 49.00,1.25,0.39,2.44,15.18,3.60,-0.60,0.13,4.17,0.43,0.72,1.44,3.74,94.31
 50.00,1.29,0.24,2.42,3.68,0.65,-0.44,0.00,2.63,0.17,0.16,0.78,8.71,-264.17
 51.00,1.35,0.27,2.76,9.92,1.96,0.00,0.04,4.00,0.39,0.25,-3.13,-3.16,-567.86
 52.00,1.41,0.20,2.56,10.06,2.34,-0.33,0.05,3.82,0.36,0.49,-4.11,-23.50,-925.59
 53.00,1.42,0.40,2.84,9.35,1.74,-0.22,0.03,3.96,0.39,0.42,-0.87,-24.79,-454.37
 54.00,1.40,0.43,2.44,22.43,4.03,-1.36,0.16,5.35,0.71,0.76,2.57,-24.85,-576.74
 55.00,1.36,0.31,3.15,9.87,1.69,0.11,0.03,4.11,0.42,0.87,4.21,-35.50,-44.32
 56.00,1.34,0.32,2.90,17.60,4.19,-1.53,0.18,4.20,0.43,0.83,1.97,-40.97,224.75
 57.00,1.34,0.42,2.69,14.71,3.27,-0.44,0.11,4.33,0.46,0.69,-2.01,-29.29,324.19
 58.00,1.38,0.41,2.20,6.77,1.64,-0.11,0.03,3.30,0.27,0.60,-3.24,-24.70,475.94
 59.00,1.46,0.45,3.10,4.99,0.82,-0.11,0.01,3.05,0.23,1.10,-2.31,-21.80,190.69
 60.00,1.51,0.53,2.59,10.35,2.13,-0.33,0.05,4.02,0.40,0.65,-0.28,-18.95,11.84
 61.00,1.52,0.47,2.36,11.34,2.29,-0.87,0.05,4.17,0.43,0.69,1.96,-10.19,-106.55
 62.00,1.48,0.53,1.87,8.65,0.49,0.44,0.00,4.13,0.42,0.60,2.64,-7.32,-269.38
 63.00,1.43,0.43,3.31,13.35,2.89,-0.60,0.08,4.28,0.45,1.05,0.79,-9.84,-22.23
 64.00,1.39,0.35,4.21,21.32,2.78,-1.09,0.08,5.91,0.87,1.07,-1.30,-2.69,-126.55
 65.00,1.38,0.30,2.96,12.87,2.02,-0.87,0.04,4.66,0.54,1.27,-0.94,3.09,-24.63
 66.00,1.42,0.44,2.79,14.56,2.62,-0.87,0.07,4.72,0.55,1.07,0.14,6.80,-146.01
 67.00,1.48,0.32,2.51,6.64,0.55,-0.05,0.00,3.60,0.32,0.92,0.40,8.52,-144.18
 68.00,1.51,0.32,2.98,10.26,0.49,1.15,0.00,4.50,0.50,0.58,-0.21,7.34,-162.72
 69.00,1.51,0.19,2.31,9.83,1.15,0.16,0.01,4.28,0.45,0.83,-0.89,4.28,25.93
 70.00,1.47,0.58,2.59,15.42,2.45,-1.25,0.06,4.98,0.61,0.98,-0.43,4.46,70.00
 71.00,1.41,0.31,2.61,15.42,2.45,-0.82,0.06,4.98,0.61,0.67,0.73,-0.47,128.14
 72.00,1.37,0.38,2.52,20.35,3.54,-1.20,0.13,5.31,0.70,0.85,1.51,-6.66,201.21
 73.00,1.37,0.39,2.15,24.06,3.38,-0.98,0.11,6.06,0.92,0.56,1.25,-8.53,-17.01
 74.00,1.42,0.40,2.69,19.41,2.67,-0.93,0.07,5.63,0.79,0.94,0.61,-7.19,-27.89
 75.00,1.48,1.21,2.30,25.50,4.19,-1.91,0.18,5.78,0.83,1.27,-0.53,-5.09,42.93
 76.00,1.53,0.86,1.61,12.86,1.96,-0.76,0.04,4.68,0.54,1.07,-0.92,-9.58,-92.42
 77.00,1.54,0.53,1.93,16.71,2.34,-0.76,0.05,5.28,0.69,1.18,-0.96,-8.95,-72.44
 78.00,1.49,0.71,1.82,16.93,2.29,-1.09,0.05,5.35,0.71,1.07,-0.85,-4.96,57.03
 79.00,1.44,0.62,2.25,23.81,3.71,-1.64,0.14,5.82,0.84,0.96,0.30,-1.88,-16.31
 80.00,1.39,0.06,2.33,15.09,2.45,-0.98,0.06,4.92,0.60,0.94,1.57,-6.38,131.27
