 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 39.00,1.49,0.43,2.72,33.24,4.85,-3.65,0.24,6.56,1.17,-0.56,2.60,-15.14,635.33
 40.00,1.45,0.27,2.38,21.58,3.38,-2.94,0.11,5.63,0.85,-0.44,5.11,-30.41,800.47
 41.00,1.47,0.49,3.67,25.55,5.39,-2.83,0.29,4.70,0.59,-0.31,2.24,-35.27,50.08
 42.00,1.53,0.26,2.68,24.58,4.79,-3.65,0.23,5.12,0.70,-0.08,-2.73,-34.97,272.19
 43.00,1.62,0.28,2.95,25.95,5.01,-2.94,0.25,5.18,0.72,-0.17,-4.31,-45.68,-137.02
 44.00,1.69,0.36,3.28,9.41,1.96,-3.38,0.04,3.87,0.40,0.08,-1.87,-44.25,-138.52
 45.00,1.71,0.40,3.12,14.01,1.91,-3.32,0.04,4.94,0.65,0.08,0.63,-32.64,-96.69
 46.00,1.69,0.40,2.45,9.34,0.76,-3.05,0.01,4.25,0.48,-0.08,1.26,-23.75,-29.23
 47.00,1.63,0.54,2.82,13.20,1.42,-3.81,0.02,4.94,0.65,-0.15,0.69,-15.03,16.59
 48.00,1.60,0.36,2.94,13.03,2.45,-3.27,0.06,4.48,0.53,-0.15,-0.45,-8.60,49.73
 49.00,1.60,0.55,2.45,11.51,0.44,-3.38,0.00,4.78,0.61,-0.08,-0.73,-3.82,83.74
 50.00,1.64,0.51,2.79,14.29,-0.33,-3.32,0.00,5.34,0.76,-0.39,-0.46,0.48,5.42
 51.00,1.70,0.49,2.80,11.34,-0.65,-2.29,0.00,4.72,0.59,-0.21,0.27,0.52,-59.36
 52.00,1.74,0.49,2.42,18.23,-0.33,-2.78,0.00,6.03,0.98,-0.31,0.64,4.34,18.63
 53.00,1.74,1.48,2.05,14.31,-1.74,-3.05,0.03,5.06,0.69,0.00,0.70,4.58,28.42
 54.00,1.69,0.36,3.30,19.62,0.49,-2.34,0.00,6.24,1.06,-0.35,0.38,2.93,-36.55
 55.00,1.63,0.36,3.14,17.55,0.93,-2.18,0.01,5.85,0.92,-0.64,-0.11,2.86,-33.34
 56.00,1.59,0.33,3.01,12.49,1.25,-2.89,0.02,4.84,0.63,-0.06,-0.18,3.30,-45.86
 57.00,1.58,0.39,2.82,10.32,0.98,-2.73,0.01,4.44,0.52,-0.70,-0.64,2.98,-44.22
 58.00,1.63,0.37,2.94,12.33,1.04,-3.16,0.01,4.86,0.63,-0.41,-1.04,0.23,97.35
 59.00,1.69,0.46,2.83,6.79,0.65,-2.62,0.00,3.63,0.35,-0.04,-0.48,-2.94,6.69
 60.00,1.73,0.24,2.67,7.40,0.87,-1.96,0.01,3.75,0.37,-0.29,0.13,-1.64,55.49
 61.00,1.73,0.70,2.82,13.63,1.04,-1.58,0.01,5.12,0.70,-0.33,0.14,-0.14,55.18
 62.00,1.69,0.44,2.82,11.92,-0.22,-3.11,0.00,4.88,0.64,-0.50,0.57,0.54,58.69
 63.00,1.63,0.36,2.59,11.22,0.44,-2.89,0.00,4.72,0.59,-0.54,0.79,-3.25,176.00
 64.00,1.59,0.29,2.70,11.04,0.11,-1.42,0.00,4.70,0.59,-0.46,0.10,-4.38,159.93
 65.00,1.59,0.44,2.75,17.72,0.98,-1.20,0.01,5.87,0.93,-0.85,-0.64,-2.60,117.12
 66.00,1.63,0.36,2.74,17.59,0.11,-2.34,0.00,5.93,0.95,-0.60,-0.20,-2.86,130.73
 67.00,1.69,1.02,1.98,8.89,-0.44,-2.29,0.00,4.19,0.47,-0.02,0.86,0.68,136.99
 68.00,1.73,0.88,3.06,13.55,-0.55,-2.18,0.00,5.18,0.72,-0.10,0.31,6.43,194.14
 69.00,1.73,0.47,3.55,12.28,-0.76,-1.53,0.01,4.90,0.64,-0.12,-0.74,4.53,253.60
 70.00,1.69,0.43,2.75,14.92,1.91,-3.49,0.04,5.12,0.70,0.00,-0.72,5.31,242.09
 71.00,1.63,0.21,2.85,13.63,-0.22,-3.11,0.00,5.22,0.73,0.02,0.03,4.80,109.55
 72.00,1.59,0.43,3.18,15.00,1.15,-3.32,0.01,5.36,0.77,-0.08,0.74,-0.17,126.46
 73.00,1.59,0.51,3.04,8.54,-0.05,-2.73,0.00,4.13,0.45,-0.17,0.70,-2.62,-21.75
 74.00,1.63,0.38,3.23,11.72,1.09,-2.73,0.01,4.72,0.59,0.04,-0.34,-3.37,-4.96
 75.00,1.70,0.30,3.41,15.02,1.91,-0.82,0.04,5.14,0.71,-0.48,-1.18,-8.03,-115.79
 76.00,1.75,0.48,2.47,8.47,0.16,-2.40,0.00,4.11,0.45,0.10,-0.36,-10.61,-139.93
 77.00,1.75,0.21,3.01,9.46,0.55,-1.20,0.00,4.31,0.50,-0.39,0.39,-7.37,-184.30
 78.00,1.71,0.19,2.29,12.83,-1.04,-1.58,0.01,4.96,0.66,-0.27,0.25,-5.49,-105.36
 79.00,1.65,0.36,3.50,13.39,2.89,-3.05,0.08,4.29,0.49,0.21,0.25,-3.23,-38.09
 80.00,1.61,0.31,2.97,15.97,2.56,-2.02,0.07,5.04,0.68,-0.08,0.34,-2.63,39.49
 81.00,1.61,0.24,2.87,12.63,2.51,-1.91,0.06,4.35,0.51,-0.35,0.37,-2.15,20.96
 82.00,1.66,0.32,3.01,9.52,0.27,-1.80,0.00,4.35,0.51,0.39,0.01,-0.15,-15.65
 83.00,1.72,0.30,3.30,18.81,2.18,-1.58,0.05,5.73,0.89,0.41,-0.81,-2.22,-62.23
 84.00,1.76,0.27,2.85,14.57,0.11,-2.56,0.00,5.40,0.78,-0.33,-0.31,-7.11,-162.47
 85.00,1.77,0.33,2.87,8.34,0.76,-1.42,0.01,4.01,0.43,0.12,0.77,-4.87,-223.40
 86.00,1.73,0.61,2.94,10.30,-0.16,-0.65,0.00,4.54,0.55,-0.04,0.20,-5.06,-235.96
 87.00,1.67,0.35,2.99,19.87,2.94,-3.05,0.09,5.57,0.84,-0.29,-0.80,0.28,-257.64
 88.00,1.62,0.40,2.91,15.36,-0.55,-1.25,0.00,5.52,0.82,-0.25,-0.04,4.99,-235.97
 89.00,1.62,0.15,2.74,12.38,0.98,-2.83,0.01,4.88,0.64,-0.37,1.03,3.21,-254.09
 90.00,1.66,0.60,2.90,13.49,0.76,-1.42,0.01,5.14,0.71,-0.35,0.45,4.91,-250.93
 91.00,1.72,0.35,3.32,11.51,-0.11,-1.25,0.00,4.80,0.62,-0.19,-0.58,0.94,-200.04
